text,label
I've noticed a strange odor in my urine for a few days now,YELLOW
I have CKD and my abdominal pain is severe and I also have a high fever for the last two days,RED
My doctor said I have reduced kidney function and my urination has decreased for the last two days,YELLOW
My urine looks foamy for a few days now,YELLOW
"Please, is it normal to get an occasional mild headache?",GREEN
"Good morning, can I get my flu vaccination at the clinic?",GREEN
I think I had a seizure for a few days now,RED
"Good morning, can I take paracetamol for a mild headache?",GREEN
"Good morning, is it okay to have oranges with my potassium levels?",GREEN
"Please, what time is my dialysis session tomorrow?",GREEN
"Hello, is the pharmacy open after 6 pm?",GREEN
"Hi, when is my next follow-up scheduled?",GREEN
"I'm on dialysis and I have a sudden severe headache, the worst one of my life since yesterday",RED
I'm on dialysis and I'm having chest pain since yesterday,RED
"Please, can I switch to an evening dialysis slot?",GREEN
"Hello, how long does a routine checkup usually take?",GREEN
I have CKD and I have heavy bleeding that won't stop over the past week,RED
"As a kidney patient, I've been feeling very tired and weak for a few days now",YELLOW
"Since my kidney stone, I have a mild headache since yesterday",YELLOW
I had a kidney transplant last year and my abdominal pain is severe and I also have a high fever since last night,RED
"Since my kidney stone, I have a headache since last night",YELLOW
I'm on dialysis and I think I had a seizure for a few days now,RED
I have severe abdominal pain that won't go away since yesterday,RED
"Since my kidney stone, I have severe abdominal pain that won't go away for a few days now",RED
I have CKD and I have severe pain in my side with a high fever and shaking chills over the past week,RED
Quick question - what time is my dialysis session tomorrow?,GREEN
I had a kidney transplant last year and my urine looks foamy over the past week,YELLOW
My doctor said I have reduced kidney function and I have a dull ache in my kidney area over the past week,YELLOW
"Hi, how do I update my address in your records?",GREEN
My doctor said I have reduced kidney function and I've been peeing blood for the last two days,RED
"Hello, can I drink coffee on my dialysis days?",GREEN
"Hello, can I take paracetamol for a mild headache?",GREEN
"Since my kidney stone, I've had a headache on and off over the past week",YELLOW
I'm on dialysis and I have a headache since this afternoon,YELLOW
"Hi, can I drink coffee on my dialysis days?",GREEN
My doctor said I have reduced kidney function and I fainted since last night,RED
Is the pharmacy open after 6 pm?,GREEN
"As a kidney patient, I have severe pain in my side with a high fever and shaking chills this morning",RED
I have CKD and I've been really itchy all over since last night,YELLOW
I have CKD and there's a metallic taste in my mouth since this afternoon,YELLOW
I have stage 3 kidney disease and my ankles leave a dent when I press them since this afternoon,YELLOW
Quick question - can I book an appointment for next Monday?,GREEN
My doctor said I have reduced kidney function and my blood pressure has been higher than usual for a few days now,YELLOW
"Please, can I get a medical certificate for work?",GREEN
I had a kidney transplant last year and I've had a dull headache and feel a bit off for a few days now,YELLOW
I've had a dull headache and feel a bit off since last night,YELLOW
I had a kidney transplant last year and I've gained a few kilos for a few days now and feel bloated,YELLOW
I have stage 3 kidney disease and my back is hurting near my kidneys this morning,YELLOW
"As a kidney patient, I'm not urinating as much as I used to for the last two days",YELLOW
My doctor said I have reduced kidney function and I have no urine output over the past week,RED
Quick question - is it okay to have oranges with my potassium levels?,GREEN
"As a kidney patient, there's blood when I pee this morning",RED
I have stage 3 kidney disease and my urine has an unusual smell since yesterday,YELLOW
I had a kidney transplant last year and I feel dizzy when I stand up for a few days now,YELLOW
"As a kidney patient, my ankles leave a dent when I press them this morning",YELLOW
"As a kidney patient, I've been peeing blood for a few days now",RED
I have stage 3 kidney disease and I feel dizzy when I stand up over the past week,YELLOW
"Please, can my family member pick up my medication?",GREEN
I have CKD and my face looks puffy for the last two days,YELLOW
"Hi, is it fine to have yogurt on my diet?",GREEN
Quick question - is a bit of an upset stomach after meals normal for my condition?,GREEN
"As a kidney patient, I've noticed a strange odor in my urine since yesterday",YELLOW
"Good morning, should I bring my previous reports to the appointment?",GREEN
"As a kidney patient, I have a mild headache since this afternoon",YELLOW
I'm on dialysis and I'm having chest pain over the past week,RED
"Please, can I book an appointment for next Monday?",GREEN
"Hello, does the clinic open on weekends?",GREEN
I'm on dialysis and I have severe pain in my side with a high fever and shaking chills since yesterday,RED
I have CKD and I haven't been going to the bathroom as much over the past week,YELLOW
"Since my kidney stone, I've been really itchy all over since yesterday",YELLOW
"Good morning, can I switch to an evening dialysis slot?",GREEN
I'm on dialysis and I passed out since last night,RED
I feel severely confused for a few days now,RED
"Hi, which foods are high in potassium that I should avoid?",GREEN
I'm on dialysis and I think I had a seizure since this afternoon,RED
"As a kidney patient, my hands and feet feel swollen for a few days now",YELLOW
I've been feeling very tired and weak for a few days now,YELLOW
I had a kidney transplant last year and I have pain near my kidneys since yesterday,YELLOW
I'm on dialysis and I have some discomfort around my kidneys since this afternoon,YELLOW
I'm on dialysis and I'm extremely drowsy and can barely stay awake over the past week,RED
"Please, can I travel by plane next month?",GREEN
I have a dull ache in my kidney area since yesterday,YELLOW
I have CKD and there's a metallic taste in my mouth since last night,YELLOW
"As a kidney patient, I can't breathe properly since last night",RED
I have CKD and I've been sleeping badly and feel restless since last night,YELLOW
My doctor said I have reduced kidney function and my abdominal pain is severe and I also have a high fever for a few days now,RED
"Hello, how much salt is safe for me per day?",GREEN
"Since my kidney stone, my face looks puffy since last night",YELLOW
I'm on dialysis and my urine has turned dark like cola and I feel terrible since last night,RED
I had a kidney transplant last year and blood is coming through my urine since this afternoon,RED
My doctor said I have reduced kidney function and I haven't been going to the bathroom as much this morning,YELLOW
I have CKD and I've been feeling very tired and weak for a few days now,YELLOW
I have CKD and I passed out over the past week,RED
"Please, can you send me a copy of my prescription?",GREEN
Does the clinic open on weekends?,GREEN
"Since my kidney stone, there's blood when I pee for the last two days",RED
My doctor said I have reduced kidney function and I've been urinating less than usual for a few days now,YELLOW
"As a kidney patient, I've gained a few kilos over the past week and feel bloated",YELLOW
I had a kidney transplant last year and blood is coming through my urine since yesterday,RED
I have stage 3 kidney disease and I've been throwing up nonstop and can't keep any water down for the last two days,RED
"Please, is a bit of an upset stomach after meals normal for my condition?",GREEN
"Since my kidney stone, I haven't passed any urine since last night",RED
I have stage 3 kidney disease and I have no urine output since last night,RED
I have CKD and my urine has turned dark like cola and I feel terrible since this afternoon,RED
"I had a kidney transplant last year and I have a sudden severe headache, the worst one of my life since this afternoon",RED
I'm going to the bathroom less often since yesterday,YELLOW
I have CKD and my blood pressure has been higher than usual since this afternoon,YELLOW
My doctor said I have reduced kidney function and I've been peeing blood since last night,RED
My doctor said I have reduced kidney function and I've had a dull headache and feel a bit off since last night,YELLOW
"Since my kidney stone, I have no urine output for the last two days",RED
I have stage 3 kidney disease and I've been peeing blood for a few days now,RED
"Good morning, is it normal to get an occasional mild headache?",GREEN
I have stage 3 kidney disease and my abdominal pain is severe and I also have a high fever since this afternoon,RED
"As a kidney patient, blood is coming through my urine since yesterday",RED
"As a kidney patient, this is the worst headache I've ever had this morning",RED
I'm on dialysis and I have severe pain in my side with a high fever and shaking chills this morning,RED
"As a kidney patient, I'm extremely drowsy and can barely stay awake since yesterday",RED
I need to reschedule my appointment next week,GREEN
I had a kidney transplant last year and I haven't passed any urine since yesterday,RED
"Since my kidney stone, my blood pressure has been higher than usual for a few days now",YELLOW
I have stage 3 kidney disease and my eyes are puffy in the mornings over the past week,YELLOW
Can you send me a copy of my prescription?,GREEN
My doctor said I have reduced kidney function and I have heavy bleeding that won't stop this morning,RED
I have CKD and I have pain near my kidneys over the past week,YELLOW
"Please, what documents do I need for my next visit?",GREEN
Can I travel by plane next month?,GREEN
"Since my kidney stone, I haven't been going to the bathroom as much this morning",YELLOW
My doctor said I have reduced kidney function and I haven't passed any urine since yesterday,RED
"Please, can I eat bananas on my current diet?",GREEN
"Since my kidney stone, I think I had a seizure over the past week",RED
I have CKD and my side hurts near where my kidney is this morning,YELLOW
I have CKD and I'm having chest pain for a few days now,RED
I'm on dialysis and this is the worst headache I've ever had since yesterday,RED
I passed out for the last two days,RED
My doctor said I have reduced kidney function and my urine has an unusual smell since this afternoon,YELLOW
"Since my kidney stone, I passed out this morning",RED
I've had a headache on and off for the last two days,YELLOW
"As a kidney patient, blood is coming through my urine this morning",RED
I'm on dialysis and I'm extremely drowsy and can barely stay awake for the last two days,RED
My doctor said I have reduced kidney function and I've had a headache on and off over the past week,YELLOW
"As a kidney patient, my urine has an unusual smell over the past week",YELLOW
"Hi, I'd like to request a refill of my blood pressure medication",GREEN
I have stage 3 kidney disease and my legs are hugely swollen and now it's hard to lie flat over the past week,RED
I have CKD and my abdominal pain is severe and I also have a high fever over the past week,RED
"Please, how do I update my address in your records?",GREEN
I had a kidney transplant last year and I've had a dull headache and feel a bit off this morning,YELLOW
Is brown rice okay for my diet?,GREEN
I noticed blood in my urine since last night,RED
Is it okay to have oranges with my potassium levels?,GREEN
I've noticed a strange odor in my urine this morning,YELLOW
My doctor said I have reduced kidney function and I've noticed a strange odor in my urine for a few days now,YELLOW
My doctor said I have reduced kidney function and blood is coming through my urine for a few days now,RED
I haven't passed any urine over the past week,RED
I have CKD and I have no urine output for the last two days,RED
"Good morning, can I eat tomatoes with my condition?",GREEN
I have stage 3 kidney disease and my urine has an unusual smell since last night,YELLOW
"Hello, I'd like to request a refill of my blood pressure medication",GREEN
"Hello, can my family member pick up my medication?",GREEN
My doctor said I have reduced kidney function and my heartbeat feels irregular and I'm very weak and dizzy over the past week,RED
My doctor said I have reduced kidney function and my face looks puffy since yesterday,YELLOW
I had a kidney transplant last year and I've been urinating less than usual since yesterday,YELLOW
"Since my kidney stone, I'm having chest pain this morning",RED
I have a mild fever this morning,YELLOW
"Hi, should I bring my previous reports to the appointment?",GREEN
How much salt is safe for me per day?,GREEN
My doctor said I have reduced kidney function and I've noticed a strange odor in my urine over the past week,YELLOW
I'm on dialysis and I've had a dull headache and feel a bit off since last night,YELLOW
"Please, I need to reschedule my appointment next week",GREEN
"Hello, what should my daily water intake be?",GREEN
I had a kidney transplant last year and I think I had a seizure for a few days now,RED
"As a kidney patient, I think I had a seizure for the last two days",RED
I had a kidney transplant last year and my face looks puffy since last night,YELLOW
I have CKD and my ankles leave a dent when I press them since this afternoon,YELLOW
"Good morning, is it safe for me to exercise at the gym?",GREEN
"Please, is the pharmacy open after 6 pm?",GREEN
"Hello, can I switch to an evening dialysis slot?",GREEN
"As a kidney patient, my blood pressure has been higher than usual this morning",YELLOW
My doctor said I have reduced kidney function and my stomach has been hurting a little over the past week,YELLOW
I have stage 3 kidney disease and I've been feeling very tired and weak since yesterday,YELLOW
I have heavy bleeding that won't stop since this afternoon,RED
My doctor said I have reduced kidney function and I passed out over the past week,RED
I'm on dialysis and my ankles leave a dent when I press them since yesterday,YELLOW
Quick question - is the pharmacy open after 6 pm?,GREEN
My doctor said I have reduced kidney function and I have heavy bleeding that won't stop since this afternoon,RED
My doctor said I have reduced kidney function and I feel severely confused since last night,RED
"Please, I get a mild headache sometimes, is that anything to worry about?",GREEN
I've had muscle cramps for the last two days,YELLOW
I've been vomiting blood since last night,RED
I've gained a few kilos since this afternoon and feel bloated,YELLOW
My stomach has been hurting a little since last night,YELLOW
I have stage 3 kidney disease and my urine looks foamy since yesterday,YELLOW
"As a kidney patient, I have heavy bleeding that won't stop over the past week",RED
How do I update my address in your records?,GREEN
I've been throwing up nonstop and can't keep any water down this morning,RED
I have stage 3 kidney disease and my back is hurting near my kidneys since this afternoon,YELLOW
"Good morning, when is my next follow-up scheduled?",GREEN
Is there wheelchair access at the entrance?,GREEN
Quick question - is it normal to get an occasional mild headache?,GREEN
I have CKD and my back is hurting near my kidneys this morning,YELLOW
My doctor said I have reduced kidney function and blood is coming through my urine this morning,RED
"As a kidney patient, I'm not urinating as much as I used to over the past week",YELLOW
Is there parking available at the clinic?,GREEN
"As a kidney patient, I've noticed a strange odor in my urine since last night",YELLOW
"Please, I'd like to request a refill of my blood pressure medication",GREEN
"Since my kidney stone, my hands and feet feel swollen over the past week",YELLOW
My doctor said I have reduced kidney function and I have no urine output since yesterday,RED
I have CKD and I have a mild headache for a few days now,YELLOW
"Hi, how long does a routine checkup usually take?",GREEN
My ankles leave a dent when I press them for the last two days,YELLOW
I've been vomiting blood since yesterday,RED
I have stage 3 kidney disease and I have severe pain in my side with a high fever and shaking chills since this afternoon,RED
I have stage 3 kidney disease and I have a mild headache since yesterday,YELLOW
I have stage 3 kidney disease and my legs are hugely swollen and now it's hard to lie flat since yesterday,RED
I have stage 3 kidney disease and I fainted since last night,RED
I'm going to the bathroom less often this morning,YELLOW
"Hi, can I book an appointment for next Monday?",GREEN
My doctor said I have reduced kidney function and I've had trouble concentrating and feel foggy for the last two days,YELLOW
I'm on dialysis and my urine output seems lower than normal for a few days now,YELLOW
"Please, does the clinic open on weekends?",GREEN
"As a kidney patient, I'm having chest pain for the last two days",RED
My doctor said I have reduced kidney function and I'm not urinating as much as I used to since yesterday,YELLOW
"Since my kidney stone, my eyes are puffy in the mornings since yesterday",YELLOW
How many cups of fluid can I have daily?,GREEN
My doctor said I have reduced kidney function and I can't breathe properly for the last two days,RED
Quick question - which foods are high in potassium that I should avoid?,GREEN
I have CKD and I have mild abdominal discomfort this morning,YELLOW
"Good morning, how many cups of fluid can I have daily?",GREEN
Should I take my phosphate binder before or after meals?,GREEN
