text,label,template
Can I book an appointment for next Monday?,GREEN,en:can I book an appointment for next Monday?
"Since my kidney stone, my legs and ankles have been swelling since last night",YELLOW,en:my legs and ankles have been swelling {t}
"As a kidney patient, I am passing dark red urine for a few days now",RED,en:I am passing dark red urine {t}
"Hello, can I get my flu vaccination at the clinic?",GREEN,en:can I get my flu vaccination at the clinic?
I'm on dialysis and I cannot empty my bladder this morning,RED,en:I cannot empty my bladder {t}
I've had muscle cramps since this afternoon,YELLOW,en:I've had muscle cramps {t}
"কিডনি রোগী হিসেবে বলছি, দুই দিন ধরে শ্বাসকষ্ট হচ্ছে",RED,bn:{t}শ্বাসকষ্ট হচ্ছে
My doctor said I have reduced kidney function and I am so swollen that I cannot sleep lying down since this afternoon,RED,en:I am so swollen that I cannot sleep lying down {t}
I've been vomiting blood since last night,RED,en:I've been vomiting blood {t}
I'm on dialysis and I have some discomfort around my kidneys for a few days now,YELLOW,en:I have some discomfort around my kidneys {t}
Is there wheelchair access at the entrance?,GREEN,en:is there wheelchair access at the entrance?
"Please, can I eat tomatoes with my condition?",GREEN,en:can I eat tomatoes with my condition?
I have CKD and I've had a dull headache and feel a bit off since yesterday,YELLOW,en:I've had a dull headache and feel a bit off {t}
"Since my kidney stone, my urine is the colour of blood since yesterday",RED,en:my urine is the colour of blood {t}
I have CKD and I collapsed for the last two days,RED,en:I collapsed {t}
"Since my kidney stone, I go lightheaded when I stand up since yesterday",YELLOW,en:I go lightheaded when I stand up {t}
I had a kidney transplant last year and I have a mild headache for a few days now,YELLOW,en:I have a mild headache {t}
I have stage 3 kidney disease and I have a mild fever over the past week,YELLOW,en:I have a mild fever {t}
My doctor said I have reduced kidney function and I have some abdominal pain for a few days now,YELLOW,en:I have some abdominal pain {t}
I had a kidney transplant last year and I'm extremely drowsy and can barely stay awake since yesterday,RED,en:I'm extremely drowsy and can barely stay awake {t}
গতকাল থেকে প্রস্রাবে রক্ত যাচ্ছে,RED,bn:{t}প্রস্রাবে রক্ত যাচ্ছে
"আমার কিডনি রোগ আছে, আজ সকাল থেকে হঠাৎ তীব্র মাথাব্যথা শুরু হয়েছে",RED,bn:{t}হঠাৎ তীব্র মাথাব্যথা শুরু হয়েছে
Can my family member pick up my medication?,GREEN,en:can my family member pick up my medication?
"Good morning, can I pay my bill online?",GREEN,en:can I pay my bill online?
I'm on dialysis and I'm not urinating as much as I used to since yesterday,YELLOW,en:I'm not urinating as much as I used to {t}
Can I travel by plane next month?,GREEN,en:can I travel by plane next month?
"আমি ডায়ালাইসিস নিচ্ছি, হঠাৎ তীব্র মাথাব্যথা শুরু হয়েছে",RED,bn:{t}হঠাৎ তীব্র মাথাব্যথা শুরু হয়েছে
Should I bring my previous reports to the appointment?,GREEN,en:should I bring my previous reports to the appointment?
I'm having chest pain over the past week,RED,en:I'm having chest pain {t}
Are my last lab results available yet?,GREEN,en:are my last lab results available yet?
Is the pharmacy open after 6 pm?,GREEN,en:is the pharmacy open after 6 pm?
"Hello, can I switch to an evening dialysis slot?",GREEN,en:can I switch to an evening dialysis slot?
I have CKD and I collapsed for a few days now,RED,en:I collapsed {t}
I've had a dull headache and feel a bit off since yesterday,YELLOW,en:I've had a dull headache and feel a bit off {t}
"Hi, thank you for the help during my last visit",GREEN,en:thank you for the help during my last visit
"Since my kidney stone, nothing comes out when I try to pee this morning",RED,en:nothing comes out when I try to pee {t}
I had a kidney transplant last year and I noticed blood in my urine this morning,RED,en:I noticed blood in my urine {t}
"Please, can I get a medical certificate for work?",GREEN,en:can I get a medical certificate for work?
"Since my kidney stone, my urine has turned dark like cola and I feel terrible over the past week",RED,en:my urine has turned dark like cola and I feel terrible {t}
I'm on dialysis and I have severe pain in my side with a high fever and shaking chills over the past week,RED,en:I have severe pain in my side with a high fever and shaking chills {t}
"As a kidney patient, I can't breathe properly for the last two days",RED,en:I can't breathe properly {t}
I fainted since last night,RED,en:I fainted {t}
ব্যায়াম করা কি আমার জন্য নিরাপদ?,GREEN,bn:ব্যায়াম করা কি আমার জন্য নিরাপদ?
"As a kidney patient, my abdominal pain is severe and I also have a high fever since yesterday",RED,en:my abdominal pain is severe and I also have a high fever {t}
I had a kidney transplant last year and my face is puffy in the mornings since last night,YELLOW,en:my face is puffy in the mornings {t}
I have stage 3 kidney disease and I haven't passed any urine for the last two days,RED,en:I haven't passed any urine {t}
"আমার কিডনি রোগ আছে, আজ সকাল থেকে প্রস্রাবের সাথে রক্ত যাচ্ছে",RED,bn:{t}প্রস্রাবের সাথে রক্ত যাচ্ছে
"আমার কিডনির কার্যক্ষমতা কমে গেছে, দুই দিন ধরে খিঁচুনি হয়েছে",RED,bn:{t}খিঁচুনি হয়েছে
"Since my kidney stone, there's blood when I pee since last night",RED,en:there's blood when I pee {t}
My urine has turned dark like cola and I feel terrible since this afternoon,RED,en:my urine has turned dark like cola and I feel terrible {t}
I have CKD and I have severe abdominal pain that won't go away this morning,RED,en:I have severe abdominal pain that won't go away {t}
I have CKD and I've been vomiting blood for the last two days,RED,en:I've been vomiting blood {t}
"Hello, is there wheelchair access at the entrance?",GREEN,en:is there wheelchair access at the entrance?
"কিডনি রোগী হিসেবে বলছি, বুকে ব্যথা করছে",RED,bn:{t}বুকে ব্যথা করছে
"Since my kidney stone, I've gained a few kilos this morning and feel bloated",YELLOW,en:I've gained a few kilos {t} and feel bloated
I have a mild fever over the past week,YELLOW,en:I have a mild fever {t}
"কিডনি রোগী হিসেবে বলছি, আজ সকাল থেকে প্রস্রাবের সাথে রক্ত যাচ্ছে",RED,bn:{t}প্রস্রাবের সাথে রক্ত যাচ্ছে
I had a kidney transplant last year and there is froth in my urine since yesterday,YELLOW,en:there is froth in my urine {t}
I had a kidney transplant last year and my urination has decreased for the last two days,YELLOW,en:my urination has decreased {t}
I've had trouble concentrating and feel foggy this morning,YELLOW,en:I've had trouble concentrating and feel foggy {t}
I have stage 3 kidney disease and I have pain near my kidneys over the past week,YELLOW,en:I have pain near my kidneys {t}
"Good morning, I have a mild stomach ache after eating spicy food, is that normal?",GREEN,"en:I have a mild stomach ache after eating spicy food, is that normal?"
I'm on dialysis and blood is coming through my urine since this afternoon,RED,en:blood is coming through my urine {t}
একটা প্রশ্ন ছিল - আমি কি বিমানে ভ্রমণ করতে পারব?,GREEN,bn:আমি কি বিমানে ভ্রমণ করতে পারব?
My stomach has been hurting a little since this afternoon,YELLOW,en:my stomach has been hurting a little {t}
পা ও গোড়ালি ফুলে আছে,YELLOW,bn:{t}পা ও গোড়ালি ফুলে আছে
"আমার কিডনি রোগ আছে, কাল রাত থেকে প্রস্রাব একদম বন্ধ হয়ে গেছে",RED,bn:{t}প্রস্রাব একদম বন্ধ হয়ে গেছে
"Since my kidney stone, I have been sleeping badly for a few days now",YELLOW,en:I have been sleeping badly {t}
I have stage 3 kidney disease and I have severe abdominal pain that won't go away over the past week,RED,en:I have severe abdominal pain that won't go away {t}
"As a kidney patient, there's a metallic taste in my mouth since this afternoon",YELLOW,en:there's a metallic taste in my mouth {t}
"Hello, can I eat tomatoes with my condition?",GREEN,en:can I eat tomatoes with my condition?
